Latitude,Longitude,Distance_to_Park,Proximity_to_Water,Vegetation_Density,Human_Population_Density,Reported_Conflict_Incidents
0.231,36.9629,9.27,1,0.57,99,6
1.4459,39.781,4.11,0,0.29,157,1
-0.0387,38.387,13.99,0,0.38,184,4
-1.5674,37.6215,6.36,0,0.34,192,6
1.7353,36.9732,4.7,0,0.47,163,4
1.3148,35.523,9.87,0,0.62,61,2
-0.8179,38.7306,15.97,1,0.55,181,5
-0.8843,35.1386,3.78,0,0.76,164,5
0.7772,38.4201,6.79,0,0.26,89,10
1.5157,36.1568,8.9,1,0.52,187,8
1.8505,35.0569,14.78,1,0.32,83,6
0.288,39.7206,10.52,1,0.43,116,0
1.0574,35.2388,2.86,1,0.45,96,4
0.0091,35.6312,3.14,1,0.31,148,2
1.8227,38.3294,19.88,0,0.42,56,6
1.3568,39.8123,13.97,0,0.43,165,6
0.485,37.3994,16.63,0,0.48,126,1
-0.7129,37.5109,1.13,0,0.3,51,0
1.6937,38.3409,3.03,1,0.22,85,6
1.5018,35.536,7.92,0,0.24,64,8
-1.5471,35.6711,8.86,0,0.49,122,2
-0.9623,36.4011,7.25,0,0.55,106,0
0.7187,38.4763,1.07,1,0.75,89,5
0.6801,35.8859,1.51,1,0.47,64,1
-0.9445,39.913,13.71,0,0.41,55,10
0.4693,38.9429,13.75,1,0.54,63,9
0.8537,37.7468,11.73,0,0.25,84,9
0.0371,39.6015,2.24,1,0.52,157,4
-0.778,37.3059,13.01,1,0.38,55,3
-1.6355,36.352,10.71,1,0.36,140,4
0.2145,35.9772,7.7,0,0.48,74,5
-0.4533,36.45,18.97,0,0.69,81,6
-1.7454,38.3005,18.76,0,0.46,192,0
1.7021,37.6512,8.37,1,0.44,103,10
0.3678,38.9608,10.42,1,0.5,98,3
-1.9166,38.8926,6.07,0,0.57,50,1
-1.7438,37.8266,15.55,0,0.54,87,1
-0.5198,36.8699,14.66,0,0.61,116,7
0.0738,37.2729,14.73,0,0.74,148,1
0.0376,39.1904,9.12,0,0.67,175,0
1.1105,39.6438,19.89,0,0.26,54,5
-0.8969,38.3696,15.02,0,0.29,70,10
-0.2191,38.8112,13.43,1,0.55,83,6
-0.8664,35.2189,13.37,1,0.74,174,6
0.1326,35.7469,4.63,1,0.3,147,9
-0.4336,35.2635,4.01,0,0.56,189,2
0.6326,37.2142,16.27,1,0.31,107,3
0.9823,37.4094,8.17,0,0.34,195,2
-1.1629,36.5015,7.34,1,0.23,154,0
0.254,39.9462,6.62,1,0.59,70,5
-0.9779,35.6138,18.16,1,0.36,134,1
0.0343,36.8392,3.17,1,0.45,121,8
1.2479,37.2873,5.55,0,0.75,51,1
-0.135,35.315,15.48,0,0.24,59,10
-1.0825,38.805,9.93,0,0.23,125,0
-0.1811,39.8732,13.32,0,0.48,80,1
0.6675,39.1493,5.62,1,0.67,144,8
1.1666,39.6108,7.51,0,0.69,162,7
-0.6521,37.4763,11.95,1,0.64,199,9
1.9501,39.142,6.86,1,0.43,165,0
0.647,39.5273,17.61,0,0.45,121,4
-0.6494,35.7419,6.12,1,0.79,84,8
-0.6019,38.4027,18.93,1,0.53,66,6
-0.7775,38.01,12.96,0,0.57,193,7
-1.5892,36.4829,17.8,0,0.42,142,2
0.9176,39.5639,16.87,1,0.79,172,8
0.4674,39.3837,2.0,0,0.7,58,8
1.7435,39.6008,17.97,1,0.6,173,9
1.8616,35.0337,18.24,1,0.55,121,4
-0.4815,38.5233,15.82,1,0.45,102,7
-0.1657,36.3677,3.18,1,0.77,191,2
0.1681,35.0468,17.78,1,0.66,95,9
-0.6025,35.9897,18.42,1,0.54,50,3
-0.8972,37.8587,14.44,1,0.71,149,2
0.0236,35.7724,10.19,1,0.77,51,10
-1.8786,35.1576,9.2,0,0.75,58,7
0.1373,35.3093,2.45,1,0.41,135,10
-1.4374,35.418,5.07,0,0.65,129,7
1.4258,35.3754,17.23,1,0.26,58,7
-1.7806,39.8297,1.12,1,0.74,177,5
-1.9213,37.5219,2.74,1,0.38,157,9
-0.6298,39.9923,11.92,1,0.4,154,9
-1.3274,39.6112,7.67,1,0.51,96,6
1.3907,38.8448,2.6,1,0.29,166,3
0.4482,39.7802,3.18,0,0.51,87,7
-1.4958,37.8356,4.4,1,0.76,50,2
1.3771,37.7349,16.04,0,0.54,172,2
-0.8396,37.881,12.27,0,0.72,158,0
1.2958,37.5639,18.28,1,0.54,98,9
-0.2826,36.4088,11.04,1,0.51,181,2
1.336,38.0126,13.13,0,0.69,121,6
-1.4252,38.3997,4.14,1,0.43,72,10
-0.636,37.5676,4.81,0,0.46,156,8
0.365,38.1077,8.72,1,0.61,116,1
1.4666,37.5229,13.24,1,0.62,142,3
-1.2609,36.4276,19.54,1,0.8,91,5
-1.712,36.7106,15.61,0,0.65,115,4
-0.5719,37.9277,11.37,1,0.44,174,9
0.7814,39.7348,7.57,1,0.53,125,3
-0.3257,39.4074,3.19,0,0.78,119,2
1.644,37.416,7.17,1,0.46,71,2
0.7564,37.9423,19.32,0,0.42,199,7
-0.8481,39.2207,4.34,1,0.36,138,4
1.0593,38.6602,6.53,1,0.3,196,3
1.759,35.5132,12.34,0,0.5,154,0
-1.2177,39.9514,9.42,0,0.67,162,9
0.2742,36.4161,12.65,1,0.53,136,8
1.1579,35.6366,10.06,0,0.59,153,8
1.6778,36.2361,2.69,1,0.4,66,7
0.0439,38.5601,13.17,0,0.21,106,6
1.2103,39.1453,9.57,1,0.67,60,4
-1.8493,38.1788,17.32,0,0.78,160,4
-1.4594,36.0058,15.34,0,0.35,176,8
1.3734,37.2584,8.16,1,0.79,144,5
-0.4968,38.5337,3.86,1,0.5,136,3
-1.1147,38.1966,14.81,1,0.6,147,6
-1.7695,39.8637,2.88,1,0.26,101,7
-0.5371,37.9879,17.98,1,0.45,165,10
1.4552,36.8605,18.29,1,0.73,177,7
1.6504,37.2525,11.5,1,0.76,108,5
0.3353,35.2184,5.12,0,0.39,145,9
0.4994,39.6272,2.24,0,0.63,95,2
0.066,38.6916,17.34,0,0.41,115,6
-1.5984,35.723,9.47,0,0.48,97,5
1.4121,38.3621,11.74,1,0.66,92,1
0.0484,38.9354,14.07,0,0.54,91,1
-0.7176,35.0282,3.6,0,0.65,74,1
-1.342,38.7005,3.01,0,0.27,99,4
-0.388,38.2391,19.69,0,0.55,181,8
0.7016,37.1723,10.41,1,0.76,142,4
-1.5196,39.2235,3.99,0,0.23,53,0
0.4644,35.5529,14.54,1,0.36,75,9
-0.3519,38.4174,12.04,0,0.24,152,8
0.7573,36.695,6.48,1,0.67,75,6
-1.2579,36.535,11.13,1,0.55,135,7
-0.0163,35.9247,8.03,1,0.75,164,5
1.1171,35.979,7.9,0,0.78,80,6
1.9845,36.4556,6.94,1,0.65,83,5
-1.76,36.4333,3.77,0,0.41,89,9
-1.268,39.1915,19.57,0,0.27,199,0
-1.7267,37.7666,3.0,1,0.46,121,0
0.5953,35.6791,12.46,1,0.44,200,3
0.8899,37.0816,9.66,0,0.72,63,6
-1.6728,39.3279,2.85,0,0.64,166,7
0.2537,36.7185,7.69,1,0.44,187,0
-0.2115,36.1847,4.12,1,0.43,174,6
0.433,37.6339,18.02,0,0.41,54,10
1.5453,35.0511,2.34,1,0.68,180,7
0.2147,35.3318,10.53,1,0.6,138,10
-1.906,38.0623,9.94,1,0.51,90,1
1.8892,35.5104,10.37,0,0.44,76,4
1.9341,35.659,6.83,1,0.71,140,4
-1.7941,39.0599,8.32,1,0.37,52,7
-0.6561,38.2182,17.34,0,0.32,69,7
-1.073,36.9081,12.49,0,0.22,196,0
1.2026,38.2281,3.64,1,0.27,137,9
1.3441,39.6504,14.17,1,0.22,165,7
0.0297,35.4163,5.52,0,0.27,177,4
0.7874,36.229,14.57,1,0.23,185,10
-1.5827,35.2492,4.13,0,0.27,61,2
-1.9854,38.4828,9.57,1,0.69,135,2
0.1308,37.4773,17.06,0,0.37,152,10
1.7475,38.8962,16.02,0,0.72,109,5
-0.8084,35.3373,5.8,1,0.3,177,5
1.1735,37.6992,7.52,0,0.58,155,3
0.3161,35.2512,19.35,0,0.79,194,5
-0.9606,35.27,7.28,0,0.36,181,4
1.5638,35.3912,1.24,0,0.42,116,1
1.7891,35.935,3.41,0,0.61,162,4
-0.0556,36.6618,19.84,0,0.42,157,10
0.9778,39.4019,13.29,1,0.52,79,9
-0.7807,36.11,5.65,0,0.38,192,7
-0.8181,39.9647,2.14,1,0.44,50,7
-0.2009,35.1115,8.63,0,0.32,73,2
-0.777,37.6745,3.48,0,0.74,171,10
-0.5677,39.1489,13.74,1,0.61,63,8
-0.8454,38.146,19.05,0,0.32,198,8
-1.5163,35.2108,14.53,1,0.63,193,6
-0.4508,35.4133,13.53,0,0.22,143,10
-1.97,38.9978,13.71,1,0.79,180,10
0.0476,38.404,3.94,0,0.51,99,7
-0.5782,35.7879,7.56,1,0.44,86,1
-0.2352,38.7776,5.29,0,0.68,183,4
0.568,37.4643,19.11,0,0.49,81,5
1.146,36.6829,12.11,0,0.57,197,9
1.4857,35.2487,11.93,0,0.4,94,8
-1.2176,38.9174,17.43,0,0.33,180,1
0.603,38.3455,2.98,1,0.59,110,4
-1.2923,39.5906,4.38,1,0.29,182,6
1.8826,37.4834,10.11,1,0.66,98,5
0.9917,37.1631,1.19,1,0.5,71,6
-1.3253,38.6719,9.99,1,0.69,145,6
1.2112,37.8823,9.62,0,0.51,156,9
1.8245,37.3086,17.5,0,0.69,160,2
1.8653,38.5897,3.32,0,0.21,197,3
-1.7,39.0456,19.84,1,0.65,134,10
0.6151,38.9561,8.58,0,0.25,99,0
-1.2905,37.775,15.69,1,0.47,54,3
-0.4389,36.8463,13.86,0,0.33,134,6
1.8082,39.7696,5.2,1,0.63,119,3
0.4837,36.3209,10.42,1,0.27,188,2
-1.7346,39.9081,7.8,1,0.65,58,7
1.6436,38.567,11.6,1,0.7,153,2
0.3092,39.5008,6.29,0,0.31,59,6
-0.9386,39.903,7.69,1,0.51,173,1
-0.6144,36.3947,12.94,0,0.22,63,0
0.3068,39.3437,2.79,0,0.74,155,9
-1.0849,36.6881,6.38,1,0.4,131,4
-0.9667,36.7834,5.02,1,0.4,131,1
1.9857,39.0967,9.78,1,0.38,134,5
0.2778,39.5084,14.29,0,0.35,56,10
0.2858,38.1997,19.24,0,0.67,184,9
-0.715,38.3199,2.78,0,0.43,108,9
-1.5292,39.1387,5.96,0,0.6,179,9
1.1673,38.6897,19.03,1,0.7,95,3
-0.0038,39.7245,18.49,1,0.25,136,9
0.8673,39.6985,15.15,1,0.68,67,0
0.7735,38.0802,5.0,0,0.27,109,3
1.3095,38.9191,16.5,0,0.7,198,2
0.096,39.4454,10.83,0,0.61,84,10
1.5843,37.8857,7.72,0,0.45,54,2
-0.8191,38.638,11.57,0,0.28,181,5
0.4395,39.0428,18.31,1,0.47,118,9
0.3074,36.9784,4.62,1,0.48,129,2
1.5705,38.524,3.01,0,0.36,105,4
0.3062,35.8541,10.23,0,0.38,164,1
-0.2064,37.9859,9.9,0,0.73,168,1
-1.5103,35.3862,10.6,0,0.38,161,9
1.4499,35.9778,8.03,1,0.79,156,8
1.4369,39.2325,6.34,1,0.34,154,6
0.828,36.7502,16.9,0,0.58,98,9
-0.3886,35.0253,8.79,0,0.77,200,2
-0.2808,37.6082,11.44,1,0.62,155,4
-0.5771,36.7424,19.42,1,0.38,112,7
-0.4223,37.5622,12.62,1,0.58,170,1
-0.0662,39.5616,1.37,1,0.28,145,1
1.7612,38.0473,7.83,1,0.41,92,8
-1.5449,38.9393,9.47,0,0.79,85,0
-1.481,36.5995,7.02,1,0.76,196,4
1.0427,39.3967,6.3,1,0.4,197,7
-1.6268,39.0625,9.8,0,0.38,61,2
1.526,35.1095,15.25,0,0.54,61,9
-0.5513,39.5556,1.96,1,0.7,194,0
1.7359,39.8127,1.02,1,0.47,117,4
0.2036,36.9225,7.14,0,0.65,144,5
1.5609,35.0902,1.49,1,0.51,146,5
-0.3941,37.1232,9.45,0,0.55,158,0
1.912,37.7846,15.49,0,0.24,94,7
-0.1803,37.1719,16.72,1,0.51,128,0
-0.1711,38.2075,12.22,0,0.31,117,1
-0.1997,37.7297,10.08,1,0.51,72,3
-1.1944,37.5373,12.39,1,0.24,120,3
1.6338,36.8089,11.76,0,0.46,119,6
-1.5336,37.2783,4.52,0,0.77,123,8
1.0184,36.6996,1.19,0,0.61,181,1
-0.0591,37.2843,14.81,1,0.41,79,0
-0.6908,37.4647,10.43,1,0.53,170,5
-0.316,39.065,12.51,1,0.72,155,3
0.5674,36.5621,4.02,0,0.4,194,8
1.5006,37.0497,5.34,1,0.72,125,7
0.8618,35.485,1.02,1,0.24,129,6
1.7109,35.7261,7.92,1,0.37,107,8
-1.605,37.7195,4.62,1,0.65,120,5
1.5343,37.2373,7.3,1,0.38,193,1
0.2373,37.2223,9.27,1,0.42,151,6
0.5035,35.8516,5.26,0,0.5,155,3
-0.8133,35.2641,2.14,1,0.3,145,2
-0.1206,36.6782,10.85,1,0.75,100,7
0.7295,38.1366,4.8,1,0.36,150,0
1.9258,35.3188,15.28,0,0.38,80,5
-1.4301,39.1572,16.23,1,0.7,118,6
1.3998,38.9748,19.19,0,0.75,98,6
-0.5109,36.4505,11.79,1,0.72,100,9
1.5994,38.9969,3.55,1,0.42,154,4
1.1257,37.3922,12.81,1,0.52,173,9
-1.2965,36.0384,16.84,1,0.5,134,2
-0.6989,39.894,2.35,0,0.72,175,2
0.5884,38.0749,4.25,0,0.46,154,9
1.0057,37.394,17.68,1,0.48,104,8
-0.8641,37.954,11.74,0,0.32,176,4
1.3913,39.7618,18.36,0,0.43,185,3
-1.3056,36.0663,7.2,0,0.53,96,3
-0.4485,38.5842,18.88,0,0.65,128,7
0.8794,35.1446,17.05,0,0.66,193,5
1.7536,39.0255,17.32,0,0.23,148,8
1.2952,39.2618,18.71,0,0.44,61,7
0.4213,38.5215,12.43,1,0.56,123,5
0.4526,39.8546,18.19,1,0.33,55,7
-1.4624,39.5551,3.9,1,0.29,122,0
