Mobile Money Usage,Bank Account Ownership,Savings,Credit Usage
58,1,25159,1
17,0,51617,1
16,1,12142,0
40,1,11519,1
38,0,94274,0
65,0,65033,1
88,1,1894,0
84,0,79596,0
82,0,75101,1
53,1,53960,0
81,0,37145,0
77,0,13841,0
45,0,19549,0
84,0,46206,1
60,1,87221,1
99,0,64100,0
91,0,77768,1
11,0,3052,0
42,0,85745,1
38,1,14190,1
64,0,48271,0
14,0,99676,0
57,1,50844,0
48,0,46737,0
88,1,60042,0
84,1,78686,0
22,1,89496,0
70,1,27432,0
75,0,63197,1
60,1,8228,0
71,1,39231,0
12,1,56023,0
60,0,7788,0
48,1,68323,0
67,0,57921,0
30,1,28800,0
14,0,40836,1
97,0,50363,0
65,0,54873,1
54,0,95823,0
46,1,77772,1
34,0,84534,0
15,1,1920,1
56,0,37330,0
12,0,56937,1
24,1,75677,1
41,0,66294,1
56,1,87893,1
80,1,22911,1
55,1,74045,1
61,1,77452,1
93,1,55958,1
87,1,80332,0
6,1,79831,1
58,1,43419,0
8,1,58794,0
99,0,24205,0
38,1,39655,0
62,1,91615,0
67,0,42574,1
84,0,82719,0
82,1,19513,1
2,0,69477,1
52,1,25730,1
84,0,77375,1
47,1,29769,1
62,0,15379,1
92,1,41058,1
78,0,42051,0
30,0,24329,1
24,1,35373,0
10,1,54920,0
13,1,31685,0
66,1,51393,0
16,1,9023,1
71,0,85204,0
62,0,91082,0
54,1,84865,1
3,1,36661,1
85,1,14875,1
59,1,13611,0
3,0,45730,0
74,1,97830,0
32,1,65133,1
10,0,87936,1
51,0,94909,1
19,0,64360,1
3,1,70987,1
82,0,78582,0
46,1,97111,1
82,0,47227,0
78,0,65007,0
62,1,84187,0
89,0,57327,0
13,0,99448,0
30,1,17067,1
13,0,32852,1
70,1,79390,1
92,1,69968,0
58,1,61656,1
77,1,2197,1
37,0,63632,0
70,0,36265,0
75,1,26216,1
69,0,55661,0
2,1,7902,1
98,1,58109,1
91,0,67114,0
61,1,25712,0
40,1,33327,0
44,1,1616,1
12,0,49156,1
39,1,49071,0
92,0,87243,1
81,0,86224,1
95,0,7579,0
72,1,22172,0
6,1,29832,1
91,1,56811,0
54,1,40971,1
18,1,88201,1
49,1,12168,1
2,1,1826,1
57,1,35893,0
15,0,70065,0
91,1,88461,0
17,1,16730,0
49,1,34935,1
94,1,8852,0
77,1,3313,0
95,1,61719,0
81,1,67745,0
42,0,26745,0
37,0,13250,1
32,1,39307,1
49,1,79466,0
86,1,48409,1
40,0,34177,1
18,0,2941,0
12,0,62406,1
8,0,5642,0
93,0,92032,1
34,1,96344,1
55,1,44000,0
74,1,2553,0
68,1,35687,0
18,1,60015,0
87,1,14283,1
54,0,54923,1
89,1,19806,0
42,0,69701,1
13,0,33040,0
66,0,51675,0
52,1,84910,0
93,0,37145,0
5,1,62349,1
93,1,2884,0
21,1,20715,0
52,0,4120,0
72,1,19118,1
53,1,19019,1
39,1,52990,1
99,0,11164,1
74,1,74530,0
57,1,77756,1
42,1,19418,1
24,1,90720,1
32,0,3177,0
48,1,86325,0
70,1,23311,1
97,0,36080,1
84,1,60642,0
6,0,69983,1
27,0,61978,1
8,1,82304,0
24,0,69423,1
4,0,62852,0
62,1,86127,1
61,1,72581,1
49,0,63925,1
15,0,92267,1
71,1,12014,1
14,1,14282,1
55,1,45391,1
84,0,31426,1
37,1,86218,1
31,0,73552,1
47,0,58076,1
88,0,90437,0
84,0,1645,1
18,1,6255,0
18,0,94855,1
53,1,65257,0
16,1,79863,0
62,1,91036,1
76,1,18721,1
22,1,76820,1
92,0,8834,1
36,1,93222,1
67,1,43790,1
92,0,73195,0
58,0,28630,0
34,0,46487,0
98,1,6789,1
18,0,29715,1
87,0,6370,0
54,1,61161,0
9,1,45422,1
30,1,73678,0
76,1,86087,0
45,0,79315,0
60,0,83546,1
48,1,99268,0
22,0,50589,0
82,0,82849,1
8,1,72667,1
68,1,55082,0
60,0,70751,1
55,0,9940,1
38,0,22710,1
38,1,65129,0
47,0,7680,0
87,1,27746,0
30,0,84492,0
57,0,68072,0
76,0,83346,0
95,0,35109,1
20,1,93284,1
79,0,41280,1
65,0,23875,0
99,0,86478,1
20,0,68037,0
46,0,67190,0
36,1,78499,0
8,0,58432,1
10,1,55429,0
43,0,15890,1
5,1,59589,0
64,1,59989,1
60,1,13060,0
29,1,93126,1
95,1,41959,1
87,0,53703,0
97,1,44061,0
7,0,37063,1
39,1,7215,0
18,0,5322,1
43,1,10139,1
90,0,74785,0
45,0,6319,0
57,1,24544,0
34,0,46855,1
84,1,88269,0
84,1,23663,0
11,1,15194,0
48,1,51218,1
25,0,17713,1
75,0,84333,0
41,0,6795,0
98,0,35612,1
61,0,58070,1
62,1,88407,1
50,1,70257,1
50,0,53287,1
38,1,38221,0
64,0,49216,0
28,0,6907,0
93,1,6514,0
72,1,66278,0
27,1,19065,1
28,0,81665,1
90,0,82735,0
2,0,96282,1
27,1,48576,0
27,0,83804,0
6,1,94065,1
57,0,85486,1
38,1,12571,1
5,1,22775,1
3,1,36968,1
84,1,52431,0
60,0,44338,0
52,0,16644,0
2,0,88154,0
30,0,20766,0
28,0,97461,1
51,1,72007,1
89,1,9376,0
17,1,54869,1
77,0,57302,0
51,0,23536,0
41,0,20576,1
74,0,1270,0
60,1,78440,1
49,1,41639,0
58,1,97644,1
81,0,66331,1
44,1,64500,1
42,1,16553,1
30,1,47708,1
4,0,94139,0
91,0,41243,1
68,1,68006,1
57,0,41841,0
76,0,41124,1
48,1,43393,1
78,1,66520,1
20,1,87494,1
30,1,49933,1
35,1,82886,0
5,0,17348,1
66,0,16634,1
11,0,95927,0
80,1,59068,0
49,1,53091,0
28,0,88723,0
1,0,41945,1
7,0,42125,0
98,0,9396,1
56,1,34383,1
41,0,5280,1
52,1,22307,1
51,0,21454,0
93,1,37709,0
62,0,90997,1
76,1,52135,0
83,1,41348,1
25,1,15041,0
1,0,41524,1
95,1,73265,0
20,1,32741,0
77,1,15365,0
74,1,46047,0
52,0,81546,0
11,0,67788,0
12,0,21440,0
37,1,83088,0
95,1,21762,0
99,1,23210,0
7,0,4241,1
85,1,98882,1
46,1,22127,0
23,1,7084,1
87,0,58314,0
5,1,60739,0
82,0,33857,1
71,1,2114,1
98,1,82387,0
90,0,5615,1
95,0,76518,1
70,1,2616,1
26,0,96664,1
61,0,69640,1
2,0,67139,1
93,1,17951,1
62,0,93084,0
19,0,23747,0
45,0,83338,0
61,0,25843,1
41,1,24459,1
71,0,42229,1
67,0,20052,1
66,0,39313,1
24,0,23965,0
91,1,92247,0
86,1,6052,1
90,1,3377,1
31,1,16757,1
31,1,28283,0
91,1,46123,1
17,1,39639,1
17,0,72693,0
11,0,88040,1
56,1,76557,1
77,0,39286,0
83,0,61946,1
54,1,59841,1
63,1,58514,0
50,0,72071,0
48,1,28159,0
9,0,36755,0
4,1,19356,1
32,0,65606,0
17,1,40576,1
28,0,96411,1
92,1,13119,1
8,0,71323,1
57,1,51488,1
69,0,38534,1
9,0,52376,0
80,1,76869,0
48,1,61842,0
8,1,2085,1
80,1,65803,0
82,1,80918,1
38,1,45975,0
34,0,31992,0
49,0,60600,1
5,1,78653,1
3,0,8135,0
88,1,45967,1
88,1,15258,0
3,0,81125,0
59,0,91328,0
48,0,69000,0
74,0,35587,1
43,1,83672,1
3,1,36898,0
18,1,37405,1
57,1,84538,1
76,0,72639,1
57,0,59191,1
27,1,41023,1
14,1,37937,1
62,1,53214,1
75,0,56721,0
9,1,52324,0
26,0,55140,1
49,1,27816,0
99,0,91625,1
4,1,8093,1
72,0,5395,0
93,0,83076,0
4,0,50810,0
12,0,7915,0
18,1,8457,1
24,1,69836,1
71,0,36634,0
85,1,69825,0
87,1,32443,1
24,1,21190,1
97,1,12450,0
58,0,35043,0
88,1,87153,1
33,1,4129,0
14,0,29649,1
81,0,43589,0
66,0,4746,0
91,0,4964,0
67,0,42611,1
71,0,61574,1
35,0,4710,1
98,0,44756,0
79,1,33804,0
38,1,30273,0
65,0,27394,0
42,1,27087,0
99,0,49751,0
11,0,23125,0
97,0,19571,1
92,1,56735,0
47,0,50614,0
9,0,22771,0
31,0,41165,1
28,0,61721,1
44,1,80587,0
31,0,23241,1
88,1,2729,1
53,1,92578,1
74,1,37962,0
84,0,76968,1
85,0,30265,0
11,1,33187,0
15,1,69971,1
26,0,14394,0
28,1,38477,1
76,1,75568,0
24,0,89122,1
17,0,30478,1
93,1,52853,0
13,0,7369,1
92,0,21986,1
50,1,33653,1
93,1,54631,0
89,1,25213,0
80,1,87877,1
48,1,20867,0
2,0,90540,0
30,1,94400,0
70,1,91025,0
19,0,58938,0
81,1,66374,0
63,1,5588,1
75,1,2994,1
81,1,53613,1
18,0,50649,1
32,0,80837,1
94,0,48727,0
74,0,57557,0
67,0,81034,1
33,1,8338,0
29,1,31431,0
21,0,66984,0
7,0,46673,0
8,0,24601,0
33,1,72238,1
29,1,37718,1
92,0,29139,0
11,1,42750,1
92,0,12257,1
14,1,41000,1
66,1,19541,1
30,1,32841,1
52,0,46061,1
45,1,80905,1
76,0,26349,0
70,0,34863,0
58,0,53812,0
76,0,67953,1
8,1,99611,1
70,1,76115,0
74,0,43314,0
42,1,69869,0
56,1,92493,1
93,0,56775,0
70,0,46205,0
22,0,72850,1
84,1,94478,0
20,0,27533,0
23,1,41561,1
61,0,77560,1
94,1,41998,1
92,1,83943,1
76,0,49091,0
44,1,80901,0
86,0,21647,0
22,0,93908,0
7,1,28247,1
95,1,13587,0
22,1,32325,1
39,1,27504,1
68,1,11477,0
13,1,25484,0
58,0,93219,0
1,0,59411,0
64,0,1897,0
31,1,94033,0
86,1,67103,1
79,1,9932,1
40,0,11606,1
41,1,44914,0
54,1,20006,0
98,0,30315,0
71,0,71216,1
58,0,11431,1
92,0,61053,1
5,0,25964,0
63,0,49873,1
48,1,50928,0
67,0,59211,0
3,1,58838,1
84,0,24286,0
59,1,90799,0
43,1,76950,0
97,0,53758,0
93,0,74636,0
97,0,42942,0
65,0,83998,1
60,0,55363,0
8,1,15205,1
15,0,8272,1
7,0,81017,1
39,1,13695,1
66,1,86895,1
89,1,15302,0
51,1,19807,0
7,1,24648,0
98,1,56050,0
32,0,79104,1
43,1,74846,1
23,0,78143,1
54,1,58918,1
1,0,39922,1
53,0,72118,0
53,1,99740,1
83,0,32407,0
43,0,50362,0
10,1,57433,1
64,1,64959,0
63,0,75850,0
97,1,22495,1
14,1,85055,1
18,0,13721,0
41,0,2555,1
89,1,68595,0
29,1,28184,0
3,1,44911,0
80,0,45212,0
84,0,21228,1
15,0,19398,1
3,1,95568,1
65,0,25762,1
90,0,73585,0
49,1,3667,0
39,1,59941,0
16,1,44595,0
81,1,13295,0
67,0,91649,0
79,1,99262,0
41,0,69600,1
44,0,67149,0
72,0,98212,1
46,1,60195,1
83,0,10248,0
46,0,86920,1
19,1,37230,1
89,0,73534,1
94,1,54957,0
88,1,16849,1
23,1,90908,0
41,0,75185,0
43,1,91794,0
64,1,7392,0
87,1,58120,1
86,0,99665,1
52,0,78350,0
23,0,5779,1
39,0,61589,1
51,0,9362,0
94,1,79847,1
61,0,56756,0
60,1,14914,1
20,0,45211,0
89,0,76725,0
95,1,4865,1
59,0,61983,0
32,0,22076,1
72,0,12922,0
37,1,97616,0
52,1,28704,1
10,0,92559,0
24,1,38674,1
3,1,66635,0
42,1,12629,1
73,1,86066,1
34,1,47507,0
97,0,62244,0
66,1,53323,0
39,1,38307,1
16,0,48072,1
98,1,44053,0
86,1,2717,1
59,0,21271,1
80,1,27376,1
37,0,27186,1
16,0,57248,1
39,1,76547,0
44,1,76825,0
12,0,44094,1
16,1,83108,1
43,1,8988,1
78,1,39783,0
45,1,74751,1
63,0,43925,1
37,0,16567,0
10,0,73964,1
47,0,51146,1
28,0,75265,1
84,0,72816,1
56,0,99842,0
40,1,6538,0
22,0,52685,1
75,0,83439,0
6,1,70966,1
37,1,62823,1
2,1,41831,0
81,1,66169,1
90,1,48226,0
80,0,15316,0
1,0,34627,0
3,0,86589,1
61,0,3827,0
17,1,89854,1
9,1,94460,1
88,0,2900,1
7,0,3651,1
84,1,17162,1
71,0,45769,1
86,0,79598,0
21,0,81876,0
11,0,19319,0
11,0,11715,1
78,1,76700,0
68,1,90619,1
87,0,66502,0
15,0,10029,1
96,1,16409,1
89,0,67597,0
83,1,89833,1
81,1,13942,0
98,1,67787,1
64,0,10383,1
38,0,93414,0
58,1,16797,0
89,0,72905,1
16,0,15707,1
59,0,14017,0
27,0,35974,1
15,0,99295,0
21,1,46023,1
53,0,42701,0
3,1,37778,0
50,1,98926,0
91,1,19951,0
89,1,48407,1
20,1,96343,0
14,0,17047,1
29,1,42961,1
40,0,40058,1
74,0,88661,1
60,1,42386,0
76,0,66961,1
37,1,21813,0
89,1,93172,1
63,1,98157,0
31,1,86444,1
69,1,26899,0
96,0,21941,0
29,1,29474,1
32,1,40556,0
69,0,73372,1
41,1,53824,0
56,1,81974,1
91,0,61489,0
36,0,98053,1
94,1,36342,1
26,0,36940,1
38,0,9397,1
13,0,31695,0
8,0,77657,0
67,0,91467,0
6,1,45681,0
58,1,68442,0
72,1,99059,1
79,0,1664,1
80,1,25841,1
47,1,99133,1
17,0,31789,0
62,0,94211,0
52,1,14417,1
10,1,98624,0
37,1,33322,0
21,0,5488,0
15,1,94003,0
73,0,2476,1
52,0,6547,0
51,0,75732,1
43,1,50480,0
88,0,12466,1
12,0,79021,1
77,0,71891,1
86,1,15624,1
69,0,27468,0
87,1,82499,1
37,1,87181,1
25,0,71740,1
52,0,58721,0
87,0,19304,0
99,1,8531,1
67,1,52503,0
90,1,90136,1
13,1,94747,1
78,0,64498,0
36,0,8738,0
94,0,90056,0
98,1,29336,1
17,0,85895,1
39,1,10642,1
64,1,24178,1
10,1,21167,0
82,1,2925,1
46,0,71753,0
93,0,43588,1
45,1,8020,1
10,0,18545,1
84,1,51458,1
94,1,60889,1
77,1,40093,1
72,0,89039,1
44,0,63432,1
56,0,67087,0
78,1,71667,0
73,0,26505,0
77,0,51535,1
17,0,11056,1
66,0,47605,1
43,0,8433,1
72,1,95184,1
55,0,41262,1
45,1,78091,1
4,0,13692,1
69,0,6779,1
45,1,43771,1
33,0,48036,1
42,1,39828,0
65,1,36169,1
40,0,92512,1
56,0,17959,1
58,1,64606,1
21,0,60198,1
69,1,76937,1
85,1,83991,1
5,0,23184,0
88,0,54728,1
59,1,3115,1
88,1,80530,1
59,1,86468,0
89,0,78902,1
39,1,95034,0
37,0,96834,1
21,0,10865,0
1,0,91775,0
13,0,27206,0
55,0,56189,1
91,1,37573,1
64,1,10091,1
74,1,33444,1
28,1,50597,0
50,1,44147,1
56,0,11986,0
89,0,44450,1
36,1,30808,1
61,1,71447,0
83,1,81654,1
4,1,70533,1
25,0,32831,1
82,0,75204,1
64,0,36672,0
90,1,46315,0
16,0,26822,1
59,1,25138,1
29,0,14150,0
45,1,17575,0
83,1,76322,1
7,1,82225,0
34,1,57323,0
27,1,75982,1
9,1,99143,1
51,1,16758,1
99,0,50228,0
48,0,56569,0
87,1,54397,0
65,1,31034,1
84,1,47294,0
48,0,84260,0
48,1,24744,1
57,0,81360,1
85,1,79556,1
94,1,7333,1
62,0,50429,1
87,0,58178,1
87,0,2365,1
89,0,99731,1
10,1,75319,0
48,0,94373,0
29,0,37358,1
3,0,84042,1
21,1,11419,1
26,0,19280,1
20,1,9862,1
54,1,93066,1
19,1,42720,1
27,0,11472,0
60,0,48507,1
72,0,54327,0
81,1,62039,1
47,1,58750,0
7,0,50706,0
54,1,78198,0
27,0,98385,0
81,0,55867,1
75,0,80906,0
86,0,93506,1
24,0,47496,1
33,0,3748,1
23,1,57985,1
78,1,54256,1
7,0,37458,0
17,0,62563,1
90,1,55105,0
76,0,4531,0
79,1,59107,0
32,0,74497,1
37,1,69724,0
24,0,3932,0
56,0,15476,0
6,0,79042,1
1,1,95922,1
44,0,42289,1
82,1,78793,1
13,0,21457,0
90,1,21072,1
5,0,38874,1
38,0,87101,1
8,1,16237,0
58,1,77191,0
9,1,59599,1
59,0,65974,1
16,1,10605,1
55,1,82597,1
64,0,26604,0
83,1,39059,0
96,0,85339,0
47,1,89486,0
93,0,32406,1
12,0,88407,1
53,0,15009,0
36,1,45108,1
49,0,76622,1
76,0,12672,0
78,0,80909,0
77,0,13765,1
36,0,48086,0
25,0,67024,1
27,1,28305,0
70,1,24217,1
77,0,82053,1
26,0,1935,1
12,0,59432,0
32,1,38488,1
37,0,26444,1
58,1,24247,1
7,1,75074,0
11,0,15401,0
95,0,68626,0
57,0,64391,1
57,0,31539,0
16,0,92749,0
79,1,66321,0
5,1,41416,1
41,1,91460,1
62,0,81306,0
34,0,3409,0
32,0,69070,0
4,0,80067,1
9,0,23652,0
40,1,97415,0
60,1,29604,1
30,1,5219,1
20,0,22260,0
93,0,32972,0
79,0,26180,1
46,1,24338,0
62,1,34765,1
16,1,71428,0
30,1,61546,1
14,0,60993,0
39,0,15181,0
84,0,59332,0
86,0,25051,1
86,1,53609,1
50,0,64566,1
49,1,14204,1
19,0,57313,1
62,0,91429,1
11,0,46088,0
8,0,45023,0
56,0,73106,1
66,1,10151,0
55,0,79194,1
39,0,93962,1
25,1,48274,1
72,0,61316,1
75,0,15476,0
19,1,5460,1
19,1,11970,0
16,0,83094,1
79,1,64782,1
85,1,76203,0
5,1,20081,0
6,0,40200,0
26,0,39048,1
55,1,58641,1
25,0,23876,0
38,1,57165,0
33,0,46727,1
47,0,67636,1
76,1,3130,0
83,0,23686,0
66,1,97896,1
28,1,41168,0
19,1,40475,0
18,1,11257,0
92,0,94980,1
87,0,99869,1
51,0,5678,0
11,1,35935,1
11,1,23293,0
50,1,83431,1
45,0,59153,0
67,0,13328,1
11,0,33879,0
16,0,1989,0
82,0,53878,1
99,1,26766,0
72,1,63654,1
89,1,70963,0
56,1,28016,0
9,0,82511,0
38,1,91905,0
99,1,64323,1
98,1,5297,0
33,0,17256,1
26,0,5075,0
44,1,58668,1
22,0,4360,0
59,0,89236,1
36,0,66328,1
34,1,44306,1
27,1,1148,0
82,0,82987,0
75,0,31691,0
37,1,15419,0
47,0,76247,0
66,1,85487,0
12,1,22609,0
95,0,53519,1
66,1,12736,0
31,0,77920,1
93,1,34478,1
33,0,53066,0
10,1,30839,0
81,0,41764,0
33,1,81627,0
20,1,93804,0
75,1,39361,0
32,0,9806,0
17,1,1595,0
76,1,40956,1
99,0,17828,1
39,0,8717,1
46,0,47920,0
11,1,62182,0
39,1,38205,0
75,0,1753,1
93,0,75950,1
56,1,77752,0
41,1,75116,1
21,0,92853,1
5,0,18402,0
79,0,84733,1
1,1,89910,0
87,1,11326,1
88,1,30529,0
5,0,37883,1
39,0,51088,1
18,1,43371,1
33,0,30782,0
78,0,9369,1
42,0,61340,0
66,0,41157,1
39,1,51080,1
33,1,54279,1
28,1,11126,0
93,1,59621,0
80,1,97800,1
86,0,64862,1
98,1,95152,0
72,1,8515,1
52,1,2390,1
94,1,41001,1
86,0,10686,1
62,1,58989,1
92,1,74292,1
18,0,64072,1
9,1,83941,0
54,0,91282,1
29,1,30117,1
59,1,75610,0
88,1,35971,1
90,0,45583,0
72,0,73229,1
67,0,87652,1
20,1,14094,0
16,1,86184,0
6,1,51329,1
29,0,79735,0
43,1,34686,1
43,0,5899,0
85,1,16550,1
88,0,36643,0
10,1,33851,1
61,0,17726,1
38,0,86471,1
5,1,8702,0
49,0,51296,1
50,1,87013,0
10,1,24918,0
60,1,4729,1
18,0,22344,0
47,1,38649,0
57,1,97167,1
25,1,9408,0
20,1,97295,0
39,1,26984,0
5,0,99438,0
45,1,96618,1
2,1,81288,0
34,1,25510,0
22,1,83816,0
58,1,55112,0
78,0,48781,1
12,0,60692,0
55,0,57335,1
8,0,16389,0
86,1,62927,1
12,1,77326,1
73,0,48591,0
44,0,66354,1
30,1,71104,0
24,1,64760,1
77,1,61277,0
79,1,24149,0
51,1,64375,1
65,0,57369,1
25,1,68453,0
74,0,28181,0
83,0,99612,1
9,0,48445,1
84,0,56291,1
86,0,46217,0
62,1,11928,0
14,1,74196,0
40,1,8945,1
70,0,11442,0
96,1,23339,0
6,1,41627,0
25,1,31535,0
10,1,4495,0
17,0,87805,0
15,1,8308,1
13,1,61533,1
49,1,25398,0
14,0,57321,1
11,1,34746,0
32,1,77733,1
68,0,3198,1
38,0,42027,1
75,1,98611,1
27,0,67136,0
8,0,79694,1
54,1,23191,0
37,0,35060,0
85,0,8331,1
14,1,42133,1
68,1,78874,1
47,1,15867,1
81,1,45583,1
73,1,86738,0
41,1,96218,1
73,1,44429,0
21,1,82216,1
87,1,88776,0
45,0,1950,1
70,1,14418,0
18,0,59352,1
19,0,98489,0
5,0,8364,0
49,0,8550,0
19,1,5121,1
81,1,38780,1
80,0,34246,0
10,1,60812,1
41,0,74588,1
88,1,83182,1
21,1,18979,0
61,1,98517,0
84,1,46639,1
11,0,84706,0
92,1,45874,1
10,0,2447,1
65,0,28065,0
3,0,59529,1
48,0,39133,0
62,1,23830,1
72,1,34580,0
74,1,90243,1
75,0,92214,1
97,1,86832,0
55,0,38705,0
30,0,49884,1
33,0,53980,0
2,0,84974,0
7,0,89640,1
55,1,77064,1
15,0,20510,1
34,1,18711,1
81,1,99586,0
72,1,16386,1
4,0,80730,1
11,0,45270,0
85,0,99916,0
26,1,14224,0
71,0,69959,1
57,1,74358,0
73,1,37277,1
31,1,89947,0
37,0,40571,0
33,1,83990,0
9,0,98215,1
46,1,89304,1
30,0,47105,1
8,0,81104,0
77,0,43199,1
77,0,85210,0
32,1,24756,1
65,0,66139,0
37,0,20726,1
51,0,48835,1
83,0,3520,0
81,0,17561,1
79,1,55529,0
33,0,84152,1
50,1,18679,0
42,0,7918,0
47,1,26130,1
97,1,10587,1
84,0,54016,0
34,1,42846,0
32,0,9660,1
61,0,13857,0
25,0,12888,0
11,0,75322,0
28,1,78722,0
46,1,91827,1
15,1,11130,1
62,0,81199,1
43,1,59570,1
98,1,75165,0
11,1,28665,1
47,1,67931,1
68,0,17599,1
55,1,58527,1
4,1,57377,0
20,0,82671,1
65,0,8743,1
13,1,24609,1
8,0,5323,1
49,1,1563,1
96,0,52342,0
57,0,98869,1
3,1,95527,1
9,0,10179,1
65,1,48030,1
46,0,25745,0
99,0,40206,1
36,1,1924,1
52,1,37900,1
13,1,25322,1
42,0,80478,1
54,1,28621,0
66,1,91093,1
44,1,3041,1
41,0,11293,1
36,0,72313,0
34,0,25803,1
74,0,14102,1
13,1,10465,0
63,1,83358,0
14,1,32145,1
22,0,2690,1
18,1,65648,1
5,0,56818,0
55,1,17622,0
18,1,99201,1
42,0,4985,1
95,1,3834,1
44,0,60865,1
15,1,30460,1
97,1,91084,1
25,0,37553,1
64,0,72869,1
75,0,26510,1
86,1,37031,0
31,1,97136,0
76,1,5676,0
25,1,72826,0
69,0,37062,0
32,1,33626,0
66,0,71438,1
91,1,28579,1
8,0,92199,1
65,1,10247,1
54,1,71836,0
38,1,24506,1
5,1,25575,0
72,1,83255,1
29,0,33329,0
92,1,43838,0
59,0,23856,1
83,1,91066,1
57,1,33163,1
48,1,36913,0
83,1,91548,1
18,1,74589,1
5,0,27749,0
98,1,65551,1
53,0,54344,1
44,0,34671,0
85,0,12989,1
47,0,59510,1
40,1,43418,0
41,0,82355,1
